Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
fzr_num_bs_aliq2,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,[sample_type(4)] = '1' and [bs_aliq_2] <> '' and [number_cryovials_bs] > 1,,,,,,
box_bs_aliq2,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,[sample_type(4)] = '1' and [bs_aliq_2] <> '' and [number_cryovials_bs] > 1,,,,,,
row_bs_aliq2,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,[sample_type(4)] = '1' and [bs_aliq_2] <> '' and [number_cryovials_bs] > 1,,,,,,
column_bs_aliq2,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,[sample_type(4)] = '1' and [bs_aliq_2] <> '' and [number_cryovials_bs] > 1,,,,,,
bs_aliq_3,storage_sample_type_and_aliquots,Blood Serum - Aliquot 3,text,Blood Serum Aliquot ID 3,,,,,,,[sample_type(4)] = '1' and [number_cryovials_bs] > 2,,,,,,
vol_bs_aliq_3,storage_sample_type_and_aliquots,,text,Volume(in ml),,,number,,2,,"[sample_type(4)] = '1' and [number_cryovials_bs] > 2 and [bs_aliq_3]<>""""",y,,,,,
fzr_loc_bs_aliq3,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,[sample_type(4)] = '1' and [bs_aliq_3] <> '' and [number_cryovials_bs] > 2,,,,,,
fzr_num_bs_aliq3,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,[sample_type(4)] = '1' and [bs_aliq_3] <> '' and [number_cryovials_bs] > 2,,,,,,
box_bs_aliq3,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,[sample_type(4)] = '1' and [bs_aliq_3] <> '' and [number_cryovials_bs] > 2,,,,,,
row_bs_aliq3,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,[sample_type(4)] = '1' and [bs_aliq_3] <> '' and [number_cryovials_bs] > 2,,,,,,
column_bs_aliq3,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,[sample_type(4)] = '1' and [bs_aliq_3] <> '' and [number_cryovials_bs] > 2,,,,,,
bs_aliq_4,storage_sample_type_and_aliquots,Blood Serum - Aliquot 4,text,Blood Serum Aliquot ID 4,,,,,,,[sample_type(4)] = '1' and [number_cryovials_bs] > 3,,,,,,
vol_bs_aliq_4,storage_sample_type_and_aliquots,,text,Volume(in ml),,,number,,2,,"[sample_type(4)] = '1' and [number_cryovials_bs] > 3 and [bs_aliq_4]<>""""",y,,,,,
fzr_loc_bs_aliq4,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,[sample_type(4)] = '1' and [bs_aliq_4] <> '' and [number_cryovials_bs] > 3,,,,,,
fzr_num_bs_aliq4,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,[sample_type(4)] = '1' and [bs_aliq_4] <> '' and [number_cryovials_bs] > 3,,,,,,
box_bs_aliq4,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,[sample_type(4)] = '1' and [bs_aliq_4] <> '' and [number_cryovials_bs] > 3,,,,,,
row_bs_aliq4,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,[sample_type(4)] = '1' and [bs_aliq_4] <> '' and [number_cryovials_bs] > 3,,,,,,
column_bs_aliq4,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,[sample_type(4)] = '1' and [bs_aliq_4] <> '' and [number_cryovials_bs] > 3,,,,,,
bs_aliq_5,storage_sample_type_and_aliquots,Blood Serum - Aliquot 5,text,Blood Serum Aliquot ID 5,,,,,,,[sample_type(4)] = '1' and [number_cryovials_bs] > 4,,,,,,
vol_bs_aliq_5,storage_sample_type_and_aliquots,,text,Volume(in ml),,,number,,2,,"[sample_type(4)] = '1' and [number_cryovials_bs] > 4 and [bs_aliq_5]<>""""",y,,,,,
fzr_loc_bs_aliq5,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,[sample_type(4)] = '1' and [bs_aliq_5] <> '' and [number_cryovials_bs] > 4,,,,,,
fzr_num_bs_aliq5,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,[sample_type(4)] = '1' and [bs_aliq_5] <> '' and [number_cryovials_bs] > 4,,,,,,
box_bs_aliq5,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,[sample_type(4)] = '1' and [bs_aliq_5] <> '' and [number_cryovials_bs] > 4,,,,,,
row_bs_aliq5,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,[sample_type(4)] = '1' and [bs_aliq_5] <> '' and [number_cryovials_bs] > 4,,,,,,
column_bs_aliq5,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,[sample_type(4)] = '1' and [bs_aliq_5] <> '' and [number_cryovials_bs] > 4,,,,,,
tot_vol_bs_aliq_bl,storage_sample_type_and_aliquots,Blood Serum - Final Volume after processing,calc,Total Volume of Blood Serum aliquots(Baseline),"rounddown(sum([baseline_arm_1][vol_bs_aliq_1],[baseline_arm_1][vol_bs_aliq_2],[baseline_arm_1][vol_bs_aliq_3],[baseline_arm_1][vol_bs_aliq_4],[baseline_arm_1][vol_bs_aliq_5]),2)",,,,,,[baseline_arm_1][number_cryovials_bs] >0,,,,,,
tot_vol_bs_aliq_v2,storage_sample_type_and_aliquots,,calc,Total Volume of Blood Serum aliquots(Visit 2),"rounddown(sum([visit_2_arm_1][vol_bs_aliq_1],[visit_2_arm_1][vol_bs_aliq_2],[visit_2_arm_1][vol_bs_aliq_3],[visit_2_arm_1][vol_bs_aliq_4],[visit_2_arm_1][vol_bs_aliq_5]),2)",,,,,,[visit_2_arm_1][number_cryovials_bs] >0,,,,,,
number_cryovials_dna,storage_sample_type_and_aliquots,DNA - Circulating Cell Free DNA,text,Number of Aliquots,,0-5,number,0,5,,[sample_type(5)] = '1',,,,,,
dna_aliq_1,storage_sample_type_and_aliquots,DNA - Aliquot 1,text,DNA Aliquot ID 1,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna]<>""""",,,,,,
ratio_od_dna1,storage_sample_type_and_aliquots,,text,OD260/OD280,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna]>0 and [dna_aliq_1]<>""""",,,,,,
dna_quant_aliq1,storage_sample_type_and_aliquots,,yesno,Is DNA quantification done on this sample?,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna]>0 and [dna_aliq_1]<>""""",,RH,,,,
dna_quant_g_aliq1,storage_sample_type_and_aliquots,,text,"If Yes, how much?",,ng/microliter,,,,,[sample_type(5)] = '1' and [number_cryovials_dna]>0 and [dna_quant_aliq1] = '1',,,,,,
vol_dna_aliq_1,storage_sample_type_and_aliquots,,text,Volume(in microliters),,,number,0,200,,"[sample_type(5)] = '1' and [number_cryovials_dna]<>"""" and [dna_aliq_1]<>""""",,,,,,
fzr_loc_dna_aliq1,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,[sample_type(5)] = '1' and [dna_aliq_1] <> '',,,,,,
fzr_num_dna_aliq1,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,[sample_type(5)] = '1' and [dna_aliq_1] <> '',,RH,,,,
box_dna_aliq1,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,[sample_type(5)] = '1' and [dna_aliq_1] <> '',,,,,,
row_dna_aliq1,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,[sample_type(5)] = '1' and [dna_aliq_1] <> '',,,,,,
column_dna_aliq1,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,[sample_type(5)] = '1' and [dna_aliq_1] <> '',,,,,,
dna_aliq_2,storage_sample_type_and_aliquots,DNA - Aliquot 2,text,DNA Aliquot ID 2,,,,,,,[sample_type(5)] = '1' and [number_cryovials_dna] > 1,,,,,,
ratio_od_dna2,storage_sample_type_and_aliquots,,text,OD260/OD280,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna]>1 and [dna_aliq_2]<>""""",,,,,,
dna_quant_aliq2,storage_sample_type_and_aliquots,,yesno,Is DNA quantification done on this sample?,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna]>1 and [dna_aliq_2]<>""""",,RH,,,,
dna_quant_g_aliq2,storage_sample_type_and_aliquots,,text,"If Yes, how much?",,ng/microliter,,,,,[sample_type(5)] = '1' and [number_cryovials_dna]>1 and [dna_quant_aliq2] = '1',,,,,,
vol_dna_aliq_2,storage_sample_type_and_aliquots,,text,Volume(in microliters),,,number,0,200,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 1 and [dna_aliq_2]<>""""",,,,,,
fzr_loc_dna_aliq2,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 1 and [dna_aliq_2]<>""""",,,,,,
fzr_num_dna_aliq2,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 1 and [dna_aliq_2]<>""""",,,,,,
box_dna_aliq2,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 1 and [dna_aliq_2]<>""""",,,,,,
row_dna_aliq2,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 1 and [dna_aliq_2]<>""""",,,,,,
column_dna_aliq2,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 1 and [dna_aliq_2]<>""""",,,,,,
dna_aliq_3,storage_sample_type_and_aliquots,DNA - Aliquot 3,text,DNA Aliquot ID 3,,,,,,,[sample_type(5)] = '1' and [number_cryovials_dna] > 2,,,,,,
ratio_od_dna3,storage_sample_type_and_aliquots,,text,OD260/OD280,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna]>2 and [dna_aliq_3]<>""""",,,,,,
dna_quant_aliq3,storage_sample_type_and_aliquots,,yesno,Is DNA quantification done on this sample?,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna]>2 and [dna_aliq_3]<>""""",,RH,,,,
dna_quant_g_aliq3,storage_sample_type_and_aliquots,,text,"If Yes, how much?",,ng/microliter,,,,,[sample_type(5)] = '1' and [number_cryovials_dna]>2 and [dna_quant_aliq3] = '1',,,,,,
vol_dna_aliq_3,storage_sample_type_and_aliquots,,text,Volume(in microliters),,,number,0,200,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 2 and [dna_aliq_3]<>""""",,,,,,
fzr_loc_dna_aliq3,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 2 and [dna_aliq_3]<>""""",,,,,,
fzr_num_dna_aliq3,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 2 and [dna_aliq_3]<>""""",,,,,,
box_dna_aliq3,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 2 and [dna_aliq_3]<>""""",,,,,,
row_dna_aliq3,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 2 and [dna_aliq_3]<>""""",,,,,,
column_dna_aliq3,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 2 and [dna_aliq_3]<>""""",,,,,,
dna_aliq_4,storage_sample_type_and_aliquots,DNA - Aliquot 4,text,DNA Aliquot ID 4,,,,,,,[sample_type(5)] = '1' and [number_cryovials_dna] > 3,,,,,,
ratio_od_dna4,storage_sample_type_and_aliquots,,text,OD260/OD280,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna]>3 and [dna_aliq_4]<>""""",,,,,,
dna_quant_aliq4,storage_sample_type_and_aliquots,,yesno,Is DNA quantification done on this sample?,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna]>3 and [dna_aliq_4]<>""""",,RH,,,,
dna_quant_g_aliq4,storage_sample_type_and_aliquots,,text,"If Yes, how much?",,ng/microliter,,,,,[sample_type(5)] = '1' and [number_cryovials_dna]>3 and [dna_quant_aliq4] = '1',,,,,,
vol_dna_aliq_4,storage_sample_type_and_aliquots,,text,Volume(in microliters),,,number,0,200,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 3 and [dna_aliq_4]<>""""",,,,,,
fzr_loc_dna_aliq4,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 3 and [dna_aliq_4]<>""""",,,,,,
fzr_num_dna_aliq4,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 3 and [dna_aliq_4]<>""""",,,,,,
box_dna_aliq4,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 3 and [dna_aliq_4]<>""""",,,,,,
row_dna_aliq4,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 3 and [dna_aliq_4]<>""""",,,,,,
column_dna_aliq4,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 3 and [dna_aliq_4]<>""""",,,,,,
dna_aliq_5,storage_sample_type_and_aliquots,DNA - Aliquot 5,text,DNA Aliquot ID 5,,,,,,,[sample_type(5)] = '1' and [number_cryovials_dna] > 4,,,,,,
ratio_od_dna5,storage_sample_type_and_aliquots,,text,OD260/OD280,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna]>4 and [dna_aliq_5]<>""""",,,,,,
dna_quant_aliq5,storage_sample_type_and_aliquots,,yesno,Is DNA quantification done on this sample?,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna]>4 and [dna_aliq_5]<>""""",,RH,,,,
dna_quant_g_aliq5,storage_sample_type_and_aliquots,,text,"If Yes, how much?",,ng/microliter,,,,,[sample_type(5)] = '1' and [number_cryovials_dna]>4 and [dna_quant_aliq5] = '1',,,,,,
vol_dna_aliq_5,storage_sample_type_and_aliquots,,text,Volume(in microliters),,,number,0,200,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 4 and [dna_aliq_5]<>""""",,,,,,
fzr_loc_dna_aliq5,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 4 and [dna_aliq_5]<>""""",,,,,,
fzr_num_dna_aliq5,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 4 and [dna_aliq_5]<>""""",,,,,,
box_dna_aliq5,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 4 and [dna_aliq_5]<>""""",,,,,,
row_dna_aliq5,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 4 and [dna_aliq_5]<>""""",,,,,,
column_dna_aliq5,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,"[sample_type(5)] = '1' and [number_cryovials_dna] > 4 and [dna_aliq_5]<>""""",,,,,,
tot_vol_dna_aliq_bl,storage_sample_type_and_aliquots,DNA - Final Volume after processing,calc,Total Volume of DNA aliquots(Baseline),"rounddown(sum([baseline_arm_1][vol_dna_aliq_1],[baseline_arm_1][vol_dna_aliq_2],[baseline_arm_1][vol_dna_aliq_3],[baseline_arm_1][vol_dna_aliq_4],[baseline_arm_1][vol_dna_aliq_5]),2)",,,,,,[baseline_arm_1][number_cryovials_dna] >0,,,,,,
tot_vol_dna_aliq_v2,storage_sample_type_and_aliquots,,calc,Total Volume of DNA aliquots (Visit 2),"rounddown(sum([visit_2_arm_1][vol_dna_aliq_1],[visit_2_arm_1][vol_dna_aliq_2],[visit_2_arm_1][vol_dna_aliq_3],[visit_2_arm_1][vol_dna_aliq_4],[visit_2_arm_1][vol_dna_aliq_5]),2)",,,,,,[visit_2_arm_1][number_cryovials_dna] >0,,,,,,
number_cryovials_pbmc,storage_sample_type_and_aliquots,PBMC,text,Number of Aliquots,,0-4,number,0,4,,[sample_type(6)] = '1',,,,,,
pbmc_aliq_1,storage_sample_type_and_aliquots,PBMC - Aliquot 1,text,PBMC Aliquot ID 1,,,,,,,[sample_type(6)] = '1' and [number_cryovials_pbmc] > 0,,,,,,
vol_pbmc_aliq_1,storage_sample_type_and_aliquots,,text,Volume (in ml),,,number,,2,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 0 and [pbmc_aliq_1]<>""""",,,,,,
fzr_loc_pbmc_aliq1,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 0 and [pbmc_aliq_1]<>""""",,,,,,
fzr_num_pbmc_aliq1,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 0 and [pbmc_aliq_1]<>""""",,,,,,
box_pbmc_aliq1,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 0 and [pbmc_aliq_1]<>""""",,,,,,
row_pbmc_aliq1,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 0 and [pbmc_aliq_1]<>""""",,,,,,
column_pbmc_aliq1,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 0 and [pbmc_aliq_1]<>""""",,,,,,
pbmc_aliq_2,storage_sample_type_and_aliquots,PBMC - Aliquot 2,text,PBMC Aliquot ID 2,,,,,,,[sample_type(6)] = '1' and [number_cryovials_pbmc] > 1,,,,,,
vol_pbmc_aliq_2,storage_sample_type_and_aliquots,,text,Volume (in ml),,,number,,2,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 1 and [pbmc_aliq_2]<>""""",,,,,,
fzr_loc_pbmc_aliq2,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 1 and [pbmc_aliq_2]<>""""",,,,,,
fzr_num_pbmc_aliq2,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 1 and [pbmc_aliq_2]<>""""",,,,,,
box_pbmc_aliq2,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 1 and [pbmc_aliq_2]<>""""",,,,,,
row_pbmc_aliq2,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 1 and [pbmc_aliq_2]<>""""",,,,,,
column_pbmc_aliq2,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 1 and [pbmc_aliq_2]<>""""",,,,,,
pbmc_aliq_3,storage_sample_type_and_aliquots,PBMC - Aliquot 3,text,PBMC Aliquot ID 3,,,,,,,[sample_type(6)] = '1' and [number_cryovials_pbmc] > 2,,,,,,
vol_pbmc_aliq_3,storage_sample_type_and_aliquots,,text,Volume (in ml),,,number,,2,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 2 and [pbmc_aliq_3]<>""""",,,,,,
fzr_loc_pbmc_aliq3,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 2 and [pbmc_aliq_3]<>""""",,,,,,
fzr_num_pbmc_aliq3,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 2 and [pbmc_aliq_3]<>""""",,,,,,
box_pbmc_aliq3,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 2 and [pbmc_aliq_3]<>""""",,,,,,
row_pbmc_aliq3,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 2 and [pbmc_aliq_3]<>""""",,,,,,
column_pbmc_aliq3,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 2 and [pbmc_aliq_3]<>""""",,,,,,
pbmc_aliq_4,storage_sample_type_and_aliquots,PBMC - Aliquot 4,text,PBMC Aliquot ID 4,,,,,,,[sample_type(6)] = '1' and [number_cryovials_pbmc] > 3,,,,,,
vol_pbmc_aliq_4,storage_sample_type_and_aliquots,,text,Volume (in ml),,,number,,2,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 3 and [pbmc_aliq_4]<>""""",,,,,,
fzr_loc_pbmc_aliq4,storage_sample_type_and_aliquots,,dropdown,Location - Freezer,"1, APIN Lab(JUTH) | 2, Blood Bank(New JUTH) | 3, New Genomics/PG Lab.CHS(JUTH) | 4, Molecular Biology Laboratory(LUTH) | 5, Central Research laboratory (APIN laboratory, College of Medicine - LUTH)",,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 3 and [pbmc_aliq_4]<>""""",,,,,,
fzr_num_pbmc_aliq4,storage_sample_type_and_aliquots,,dropdown,Freezer Number,"1, JUTH - 1 | 2, JUTH - 2 | 3, JUTH - 11 | 4, LUTH - 1 | 5, LUTH - 2",,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 3 and [pbmc_aliq_4]<>""""",,,,,,
box_pbmc_aliq4,storage_sample_type_and_aliquots,,text,Location - Box,,,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 3 and [pbmc_aliq_4]<>""""",,,,,,
row_pbmc_aliq4,storage_sample_type_and_aliquots,,text,Location - Row,,,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 3 and [pbmc_aliq_4]<>""""",,,,,,
column_pbmc_aliq4,storage_sample_type_and_aliquots,,text,Location - Column,,,,,,,"[sample_type(6)] = '1' and [number_cryovials_pbmc] > 3 and [pbmc_aliq_4]<>""""",,,,,,
tot_vol_pbmc_aliq_bl,storage_sample_type_and_aliquots,"PBMC - final Volume after processing",calc,Total Volume of PBMC aliquots(Baseline),"rounddown(sum([baseline_arm_1][vol_pbmc_aliq_1],[baseline_arm_1][vol_pbmc_aliq_2],[baseline_arm_1][vol_pbmc_aliq_3],[baseline_arm_1][vol_pbmc_aliq_4]),2)",,,,,,[baseline_arm_1][number_cryovials_pbmc] >0,,,,,,
tot_vol_pbmc_aliq_v2,storage_sample_type_and_aliquots,,calc,Total Volume of PBMC aliquots (Visit 2),"rounddown(sum([visit_2_arm_1][vol_pbmc_aliq_1],[visit_2_arm_1][vol_pbmc_aliq_2],[visit_2_arm_1][vol_pbmc_aliq_3],[visit_2_arm_1][vol_pbmc_aliq_4]),2)",,,,,,[visit_2_arm_1][number_cryovials_dna] >0,,,,,,
misc_notes_process_storage,storage_sample_type_and_aliquots,Comments/Notes,notes,Processing and Storage -  Notes,,,,,,,,,,,,,
wb_vol_vis_1,sample_collection_snapshot,Total Volume Collected from the Patient,calc,Volume of Whole Blood - Visit 1,[baseline_arm_1][vol_sample],ml,,,,,,,,,,,
wb_vol_vis_2,sample_collection_snapshot,,calc,Volume of Whole Blood - Visit 2,[visit_2_arm_1][vol_sample],ml,,,,,,,,,,,
